customer_id,age,gender,city_tier,state,income_band,occupation,membership_level,days_since_last_purchase,avg_order_value,total_orders,preferred_channel,product_id,category,sub_category,brand,base_price,discount_percent,final_price,avg_product_rating,stock_level,color,size,material,season,is_returnable,purchase_flag,quantity,payment_mode,delivery_type,time_on_page,added_to_cart,wishlist_flag,returned_flag,rating_given,review_sentiment_label,product_title,product_description,customer_review_text,customer_query,policy_doc_id,policy_text_snippet,image_path,recommended_use_case,style_tags,occasion_tags
C100,26,Male,Tier-3,Tamil Nadu,Low,Self-Employed,Platinum,42,3334.08,3,App,P1000,Accessories,Backpack,Fastrack,3478.35,0,3478.35,4.2,28,Blue,XL,Leather,Winter,1,0,1,Wallet,Standard,250.7,1,0,0,4,positive,Fastrack Blue Backpack Leather Accessorie,"A blue backpack from Fastrack made with leather. Designed for travel and suitable for customers looking for comfort, style, and dependable value in accessories.",Loved the blue accessories product. Good quality and worth the price.,Need a blue backpack for travel under Rs. 4478,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1000.jpg,Travel,"Blue, Leather, Travel",Travel
C101,45,Female,Tier-2,Maharashtra,Low,Teacher,Bronze,23,4151.07,5,App,P1001,Shoes,Sneakers,Bata,1613.88,30,1129.72,2.8,29,Blue,NA,Mesh,All-Season,1,1,1,Wallet,Express,246.5,1,0,0,5,positive,Bata Blue Sneakers Mesh Shoes,"A blue sneakers from Bata made with mesh. Designed for daily wear and suitable for customers looking for comfort, style, and dependable value in shoes.",Loved the blue shoes product. Good quality and worth the price.,Need a blue sneakers for daily wear under Rs. 2129,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1001.jpg,Daily Wear,"Blue, Mesh, Daily Wear",Daily Wear
C102,54,Male,Tier-3,Delhi,Low,Engineer,Gold,24,2609.11,13,App,P1002,Shoes,Sneakers,Nike,2661.34,15,2262.14,4.1,30,Grey,L,Leather,Monsoon,1,1,1,COD,Express,80.3,1,0,1,3,neutral,Nike Grey Sneakers Leather Shoes,"A grey sneakers from Nike made with leather. Designed for office and suitable for customers looking for comfort, style, and dependable value in shoes.",The product was average. The grey look was fine but overall experience was mixed.,Need a grey sneakers for office under Rs. 3262,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1002.jpg,Office,"Grey, Leather, Office",Office
C103,28,Female,Tier-2,Karnataka,High,Self-Employed,Silver,14,3950.84,5,Store,P1003,Accessories,Backpack,Puma,4421.16,25,3315.87,4.2,19,Brown,NA,Synthetic,Winter,1,1,1,Debit Card,Express,135.5,1,1,1,2,negative,Puma Brown Backpack Synthetic Accessorie,"A brown backpack from Puma made with synthetic. Designed for travel and suitable for customers looking for comfort, style, and dependable value in accessories.",Not fully satisfied with the accessories item. Quality and fit could be better.,Need a brown backpack for travel under Rs. 4315,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1003.jpg,Travel,"Brown, Synthetic, Travel",Travel
C104,27,Female,Tier-1,Maharashtra,High,Self-Employed,Gold,22,3493.37,11,Store,P1004,Accessories,Cap,Wildcraft,1168.73,30,818.11,4.2,154,Grey,S,Fabric,Monsoon,1,1,1,Credit Card,Standard,42.8,1,1,1,2,negative,Wildcraft Grey Cap Fabric Accessorie,"A grey cap from Wildcraft made with fabric. Designed for sports and suitable for customers looking for comfort, style, and dependable value in accessories.",Not fully satisfied with the accessories item. Quality and fit could be better.,Need a grey cap for sports under Rs. 1818,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1004.jpg,Sports,"Grey, Fabric, Sports",Sports
C105,42,Female,Tier-3,Karnataka,High,Student,Bronze,48,3705.64,3,Store,P1005,Shoes,Casual,Skechers,625.06,20,500.05,4.5,169,Grey,L,Mesh,All-Season,1,1,1,Debit Card,Express,142.3,1,0,0,4,positive,Skechers Grey Casual Mesh Shoes,"A grey casual from Skechers made with mesh. Designed for travel and suitable for customers looking for comfort, style, and dependable value in shoes.",Loved the grey shoes product. Good quality and worth the price.,Need a grey casual for travel under Rs. 1500,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1005.jpg,Travel,"Grey, Mesh, Travel",Travel
C106,58,Male,Tier-1,Karnataka,Low,Self-Employed,Bronze,14,3661.31,5,Store,P1006,Accessories,Watch,Puma,3917.51,25,2938.13,4.6,130,Black,NA,Synthetic,Summer,1,0,1,Debit Card,Express,245.2,1,0,0,2,negative,Puma Black Watch Synthetic Accessorie,"A black watch from Puma made with synthetic. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",Not fully satisfied with the accessories item. Quality and fit could be better.,Need a black watch for office under Rs. 3938,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1006.jpg,Office,"Black, Synthetic, Office",Office
C107,26,Female,Tier-3,Maharashtra,Medium,Self-Employed,Platinum,28,2751.83,9,App,P1007,Shoes,Running,Skechers,4463.32,15,3793.82,3.9,187,Black,M,Synthetic,All-Season,1,1,2,Debit Card,Express,167.0,1,1,0,3,neutral,Skechers Black Running Synthetic Shoes,"A black running from Skechers made with synthetic. Designed for daily wear and suitable for customers looking for comfort, style, and dependable value in shoes.",The product was average. The black look was fine but overall experience was mixed.,Need a black running for daily wear under Rs. 4793,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1007.jpg,Daily Wear,"Black, Synthetic, Daily Wear",Daily Wear
C108,55,Male,Tier-1,Delhi,High,Student,Silver,50,5127.49,3,App,P1008,Shoes,Formal,Nike,2886.29,0,2886.29,4.6,89,Grey,M,Synthetic,Summer,1,0,2,Credit Card,Express,235.7,1,1,0,2,negative,Nike Grey Formal Synthetic Shoes,"A grey formal from Nike made with synthetic. Designed for daily wear and suitable for customers looking for comfort, style, and dependable value in shoes.",Not fully satisfied with the shoes item. Quality and fit could be better.,Need a grey formal for daily wear under Rs. 3886,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1008.jpg,Daily Wear,"Grey, Synthetic, Daily Wear",Daily Wear
C109,24,Male,Tier-3,Telangana,Medium,Manager,Platinum,31,5377.57,6,Web,P1009,Accessories,Wallet,Wildcraft,2908.7,0,2908.7,3.4,177,Grey,M,Fabric,Summer,1,0,1,COD,Express,253.0,1,0,0,2,negative,Wildcraft Grey Wallet Fabric Accessorie,"A grey wallet from Wildcraft made with fabric. Designed for travel and suitable for customers looking for comfort, style, and dependable value in accessories.",Not fully satisfied with the accessories item. Quality and fit could be better.,Need a grey wallet for travel under Rs. 3908,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1009.jpg,Travel,"Grey, Fabric, Travel",Travel
